"Title","Measures - May 30, 2024 to Aug 16, 2024"
"Portfolio Name","Return Stacked U.S. Stocks & Futures Yield ETF"
"Portfolio Code","196322"
"Analysis Name","SCX9T"
"Period Name","Earliest"
"Period Code","Earliest"
"Exported Date","8/19/2024 10:33:16 PM"
"Website","https://ra-prod-web.statpro.com"


"Name","Contribution to Expected Shortfall","Contribution to Value at Risk","Contribution to Volatility","Contribution to Potential Gain","Contribution to Expected Upside","% Marginal Expected Shortfall","% Marginal Value at Risk","% Marginal Volatility","% Marginal Potential Gain","% Marginal Expected Upside","Risk Weight of Covered Securities (%)","Risk Market Value inc. Uncovered Securities (USD)"
"Total","100","100","100","100","100",,,,,,"100","150216801.39"
"AUDUSD Crncy Fut  Sep24","1.741423","3.554155","0.776266","0.139384","1.057022","2.01363","3.013116","0.27531","0.130635","1.486082","14.535536","21828885"
"BP CURRENCY FUT   Sep24","2.720155","4.699719","0.906206","0.780051","4.781806","2.105294","2.666829","0.21512","0.489343","4.499814","21.716372","32612775.01"
"BRENT CRUDE FUTR  Oct24","1.857127","5.931661","3.285087","5.640591","1.942673","4.325738","10.12976","2.346935","10.649124","5.501761","7.215854","10836480"
"C$ CURRENCY FUT   Sep24","-3.927704","-10.705664","-0.507471","0.705985","-3.857017","0.888495","1.775554","0.03521","-0.129444","1.060843","-74.30024","-111581120"
"COPPER FUTURE     Sep24","-3.869214","-4.052092","-0.455417","1.603709","-0.165562","4.71403","3.619536","0.170182","-1.583674","0.245253","-13.795481","-20717500.01"
"DAX INDEX FUTURE  Sep24","-4.084856","-8.051512","-3.75606","-2.39838","-4.903172","4.98967","7.210686","1.407223","2.374563","7.28208","-13.759777","-20727792.82"
"EURO FX CURR FUT  Sep24","-0.899056","-1.55968","-0.014453","0.244308","-1.61222","0.814405","1.035841","0.004016","-0.179375","1.775666","-18.554655","-27864637.5"
"EURO STOXX 50     Sep24","6.524633","12.046912","5.987388","4.004477","6.048904","5.655031","7.655238","1.591665","2.813165","6.374394","19.392221","29212531.88"
"EURO-BUND FUTURE  Sep24","-7.236222","-8.343044","-2.961596","1.354353","-7.647809","4.371797","3.69553","0.548794","-0.663209","5.617829","-27.820076","-41908291.56"
"First American Government Obligations Fund","0.040815","0.039656","0.011279","0.033618","0.039956","0.062946","0.044839","0.005335","0.042024","0.074923","10.898191","16407275.9"
"FTSE 100 IDX FUT  Sep24","-5.515065","-9.457593","-2.73494","-1.559151","-4.696949","5.703989","7.171546","0.867584","1.307034","5.906459","-16.250935","-24506252.41"
"FUTADJ-AUDUSD Crncy Fut  Sep24","0","0","0","0","0","0","0","0","0","0","-14.535536","-21828885"
"FUTADJ-BP CURRENCY FUT   Sep24","0","0","0","0","0","0","0","0","0","0","-21.716372","-32612775.01"
"FUTADJ-BRENT CRUDE FUTR  Oct24","0","0","0","0","0","0","0","0","0","0","-7.215854","-10836480"
"FUTADJ-C$ CURRENCY FUT   Sep24","0","0","0","0","0","0","0","0","0","0","74.30024","111581120"
"FUTADJ-COPPER FUTURE     Sep24","0","0","0","0","0","0","0","0","0","0","13.795481","20717500.01"
"FUTADJ-DAX INDEX FUTURE  Sep24","0.643941","1.120819","0.008088","-0.156948","1.212429","0.786577","1.003771","0.00303","-0.155389","1.800673","13.759777","20727792.82"
"FUTADJ-EURO FX CURR FUT  Sep24","0","0","0","0","0","0","0","0","0","0","18.554655","27864637.5"
"FUTADJ-EURO STOXX 50     Sep24","-0.907532","-1.579616","-0.011398","0.221193","-1.708727","0.786577","1.003771","0.00303","-0.155389","1.800673","-19.392221","-29212531.88"
"FUTADJ-EURO-BUND FUTURE  Sep24","1.301946","2.266118","0.016352","-0.317323","2.451339","0.786577","1.003771","0.00303","-0.155389","1.800673","27.820076","41908291.56"
"FUTADJ-FTSE 100 IDX FUT  Sep24","2.025375","3.463762","0.665614","0.592337","3.564826","2.094757","2.626517","0.211148","0.496555","4.482804","16.250935","24506252.41"
"FUTADJ-GASOLINE RBOB FUT Sep24","0","0","0","0","0","0","0","0","0","0","6.848638","10285010.39"
"FUTADJ-GOLD 100 OZ FUTR  Dec24","0","0","0","0","0","0","0","0","0","0","1.520896","2284020"
"FUTADJ-JPN YEN CURR FUT  Sep24","0","0","0","0","0","0","0","0","0","0","10.019719","15047212.5"
"FUTADJ-LONG GILT FUTURE  Sep24","-6.212918","-10.625229","-2.041799","-1.817017","-10.935246","2.094757","2.626517","0.211148","0.496555","4.482804","-49.85039","-75173907.42"
"FUTADJ-Low Su Gasoil G   Sep24","0","0","0","0","0","0","0","0","0","0","-3.34907","-5029500"
"FUTADJ-NASDAQ 100 E-MINI Sep24","0","0","0","0","0","0","0","0","0","0","2.349933","3529035"
"FUTADJ-NATURAL GAS FUTR  Sep24","0","0","0","0","0","0","0","0","0","0","2.233606","3354340"
"FUTADJ-NIKKEI 225  (CME) Sep24","0","0","0","0","0","0","0","0","0","0","7.655668","11496975"
"FUTADJ-NY Harb ULSD Fut  Sep24","0","0","0","0","0","0","0","0","0","0","-2.995851","-4499048.4"
"FUTADJ-S&P/TSX 60 IX FUT Sep24","0.385553","1.056361","0.049499","-0.065933","0.384934","0.878925","1.765566","0.03461","-0.121827","1.066934","7.372909","11099041.29"
"FUTADJ-S&P500 EMINI FUT  Sep24","0","0","0","0","0","0","0","0","0","0","-24.886984","-37374275.01"
"FUTADJ-SILVER FUTURE     Sep24","0","0","0","0","0","0","0","0","0","0","0.864456","1298205"
"FUTADJ-US 10YR NOTE (CBT)Sep24","0","0","0","0","0","0","0","0","0","0","5.648841","8483203.13"
"FUTADJ-US 5YR NOTE (CBT) Sep24","0","0","0","0","0","0","0","0","0","0","8.328327","12507148.49"
"FUTADJ-US LONG BOND(CBT) Sep24","0","0","0","0","0","0","0","0","0","0","2.800298","4205375"
"FUTADJ-WTI CRUDE FUTURE  Oct24","0","0","0","0","0","0","0","0","0","0","-8.299663","-12464100"
"GASOLINE RBOB FUT Sep24","-2.599163","-4.995046","-2.443388","-5.467086","-2.101239","6.378752","8.987643","1.839205","10.874987","6.269904","-6.848638","-10285010.39"
"GOLD 100 OZ FUTR  Dec24","-0.273792","-0.394937","-0.033804","-0.096973","-0.233416","3.025712","3.199916","0.11458","0.868615","3.136318","-1.520896","-2284020"
"iShares Core S&P 500 ETF","63.195915","68.94721","59.257313","67.23776","44.664764","14.203074","11.360935","4.084799","12.248338","12.20511","74.78477","112308766.68"
"JPN YEN CURR FUT  Sep24","-0.394909","-0.461869","0.384297","0.432146","-0.749914","0.662443","0.568033","-0.197721","-0.58756","1.529487","-10.019719","-15047212.5"
"LONG GILT FUTURE  Sep24","36.542583","35.860073","23.719784","3.264859","59.44917","12.32075","8.864477","2.452924","0.892222","24.370644","49.85039","75173907.42"
"Low Su Gasoil G   Sep24","1.806155","3.094154","1.576765","1.878656","1.039144","9.06436","11.384871","2.427083","7.641874","6.340756","3.34907","5029500"
"NASDAQ 100 E-MINI Sep24","-2.526334","-2.500881","-2.450292","-2.703763","-1.6107","18.069317","13.114392","5.37532","15.674375","14.007121","-2.349933","-3529035"
"NATURAL GAS FUTR  Sep24","-0.602571","-2.363778","0.03689","0.375482","-0.009163","4.534276","13.040993","-0.085142","-2.290124","0.083836","-2.233606","-3354340"
"NIKKEI 225  (CME) Sep24","0.853396","-2.525818","-0.248248","-0.339535","0.823964","-1.873588","4.065646","0.167165","0.604198","-2.199455","-7.655668","-11496975"
"NY Harb ULSD Fut  Sep24","1.125806","2.87769","1.508215","1.641184","1.034257","6.316111","11.836803","2.595284","7.463011","7.055015","2.995851","4499048.4"
"OTHER_NET_ASSETS","0","0","0","0","0","0","0","0","0","0","14.3167","21500245.92"
"S&P/TSX 60 IX FUT Sep24","-4.026316","-5.547726","-3.02002","-3.513032","-3.09712","9.178579","9.272284","2.111606","6.49113","8.584382","-7.372909","-11099041.29"
"S&P500 EMINI FUT  Sep24","21.182972","23.061419","19.707901","22.29578","14.861606","14.306094","11.4189","4.082348","12.204709","12.203467","24.886984","37374275.01"
"SILVER FUTURE     Sep24","-0.433336","-0.399172","-0.118425","-0.081681","-0.347718","8.425353","5.690205","0.706225","1.287225","8.220053","-0.864456","-1298205"
"US 10YR NOTE (CBT)Sep24","-0.835375","-0.767819","-0.359771","-0.237884","-1.095417","2.485584","1.674981","0.328329","0.573696","3.962871","-5.648841","-8483203.13"
"US 5YR NOTE (CBT) Sep24","-0.823797","-0.637316","-0.260697","-0.142388","-0.84972","1.662528","0.942991","0.161369","0.232913","2.085008","-8.328327","-12507148.49"
"US DOLLARS","0","0","0","0","0","0","0","0","0","0","0.000342","512.89"
"US LONG BOND(CBT) Sep24","-0.678018","-0.702201","-0.384436","-0.230399","-1.098361","4.06952","3.090066","0.70772","1.120866","8.015504","-2.800298","-4205375"
"WTI CRUDE FUTURE  Oct24","3.898381","7.651284","3.905273","6.681617","3.362675","7.894604","11.36016","2.425677","10.967262","8.279694","8.299663","12464100"
